id,category,name,hp,ap
61,fire,Arcanine,110,50
62,fire,Blaine's Moltres,90,90
63,fire,Arcanine,90,60
64,fire,Blaziken FB,80,30
65,fire,Blaziken,110,50
66,fire,Blaine's Arcanine,90,40
67,fire,Blaine's Charizard,100,30
68,fire,Blaziken,130,40
69,fire,Ninetales,90,60
70,fire,Magmar,80,60
71,fire,Charizard,130,100
72,fire,Ho-Oh,80,60
73,fire,Blaziken,110,40
74,fire,Charizard,140,50
75,fire,Blaziken,130,40
76,fire,Charizard,120,100
77,fire,Entei,80,60
78,fire,Flareon,70,20
79,fire,Brock's Ninetales,70,30
80,fire,Charmander,60,20
