1,Weedle,50,grass,10
2,Caterpie,50,grass,20
3,Bulbasaur,60,grass,20
4,Venusaur,140,grass,50
5,Beedrill δ,90,grass,65
6,Metapod,70,grass,40
7,Crobat δ,90,grass,30
8,Celebi & Venusaur-GX,270,grass,50
9,Caterpie,40,grass,10
10,Weedle,40,grass,10
11,Cherrim,80,grass,40
12,Kakuna,80,grass,20
13,Ludicolo,140,grass,70
14,Alolan Exeggutor,160,grass,80
15,Tangela,80,grass,30
16,Venusaur & Snivy-GX,270,grass,160
17,Venusaur V,220,grass,80
18,Caterpie,50,grass,20
19,Oddish,50,grass,10
20,Caterpie,60,grass,10
