id,category,name,hp,ap
21,lightning,Ampharos,130,30
22,lightning,Ampharos,100,20
23,lightning,Dark Ampharos,120,30
24,lightning,Ampharos,130,70
25,lightning,Dragonite δ,100,30
26,lightning,Dark Ampharos,70,50
27,lightning,Pikachu,60,20
28,lightning,Ampharos,90,20
29,lightning,Pachirisu,70,20
30,lightning,Ampharos,120,50
31,lightning,Dark Electrode,70,30
32,lightning,Electivire,100,60
33,lightning,Electabuzz,60,20
34,lightning,Jolteon,70,20
35,lightning,Raichu,90,30
36,lightning,Electivire FB,90,40
37,lightning,Pachirisu,70,20
38,lightning,Team Aqua's Manectric,70,50
39,lightning,Minun,50,20
40,lightning,Electrode,70,30
